roughness,light_intensity,pixel_samples,frame,output_file,pixel_samples_parm_used,seconds
0.10,1.50,16,1,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0001.png,samplesperpixel,4.489
0.10,1.50,16,2,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0002.png,samplesperpixel,3.394
0.10,1.50,16,3,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0003.png,samplesperpixel,3.400
0.10,1.50,16,4,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0004.png,samplesperpixel,3.495
0.10,1.50,16,5,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0005.png,samplesperpixel,3.405
0.10,1.50,16,6,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0006.png,samplesperpixel,3.380
0.10,1.50,16,7,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0007.png,samplesperpixel,6.210
0.10,1.50,16,8,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0008.png,samplesperpixel,13.284
0.10,1.50,16,9,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0009.png,samplesperpixel,27.548
0.10,1.50,16,10,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0010.png,samplesperpixel,17.115
0.10,1.50,16,11,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0011.png,samplesperpixel,11.149
0.10,1.50,16,12,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_016/frame_0012.png,samplesperpixel,4.652
0.10,1.50,32,1,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_032/frame_0001.png,samplesperpixel,5.393
0.10,1.50,32,2,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_032/frame_0002.png,samplesperpixel,3.942
0.10,1.50,32,3,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_032/frame_0003.png,samplesperpixel,3.773
0.10,1.50,32,4,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_032/frame_0004.png,samplesperpixel,3.502
0.10,1.50,32,5,/Users/sareneac/sandbox/Houdini/pixar/outputs/rough_0.10/light_1.50/spp_032/frame_0005.png,samplesperpixel,3.660
